Date,Open,High,Low,Close
06/02/2021,"1.2215","1.2229","1.2165","1.2213"
06/01/2021,"1.2228","1.2256","1.2212","1.2216"
05/31/2021,"1.2194","1.2233","1.2184","1.2227"
05/28/2021,"1.2195","1.2207","1.2133","1.2195"
05/27/2021,"1.2193","1.2217","1.2175","1.2194"
05/26/2021,"1.2253","1.2265","1.2183","1.2195"
05/25/2021,"1.2218","1.2268","1.2212","1.2252"
05/24/2021,"1.2182","1.2231","1.2173","1.2217"
05/21/2021,"1.2229","1.2242","1.2162","1.2181"
05/20/2021,"1.2178","1.2231","1.2169","1.2228"
05/19/2021,"1.2223","1.2247","1.2160","1.2177"
05/18/2021,"1.2151","1.2234","1.2151","1.2225"
05/17/2021,"1.2147","1.2170","1.2126","1.2152"
05/14/2021,"1.2079","1.2149","1.2071","1.2147"
05/13/2021,"1.2074","1.2108","1.2052","1.2081"
05/12/2021,"1.2149","1.2156","1.2066","1.2073"
05/11/2021,"1.2131","1.2182","1.2124","1.2151"
05/10/2021,"1.2164","1.2179","1.2128","1.2130"
05/07/2021,"1.2062","1.2173","1.2053","1.2163"
05/06/2021,"1.2007","1.2073","1.1994","1.2065"
05/05/2021,"1.2015","1.2029","1.1987","1.2006"
05/04/2021,"1.2063","1.2071","1.2000","1.2014"
05/03/2021,"1.2033","1.2078","1.2014","1.2065"
04/30/2021,"1.2120","1.2128","1.2017","1.2020"
04/29/2021,"1.2127","1.2151","1.2103","1.2122"
04/28/2021,"1.2093","1.2136","1.2057","1.2126"
04/27/2021,"1.2086","1.2095","1.2057","1.2092"
04/26/2021,"1.2096","1.2119","1.2063","1.2088"
04/23/2021,"1.2017","1.2102","1.2013","1.2099"
04/22/2021,"1.2035","1.2071","1.1994","1.2018"
04/21/2021,"1.2036","1.2045","1.1999","1.2036"
04/20/2021,"1.2036","1.2081","1.2023","1.2038"
04/19/2021,"1.1986","1.2050","1.1943","1.2038"
04/16/2021,"1.1968","1.1996","1.1951","1.1982"
04/15/2021,"1.1982","1.1995","1.1957","1.1967"
04/14/2021,"1.1949","1.1989","1.1948","1.1981"
04/13/2021,"1.1911","1.1957","1.1881","1.1950"
04/12/2021,"1.1901","1.1921","1.1873","1.1913"
04/09/2021,"1.1914","1.1922","1.1868","1.1902"
04/08/2021,"1.1869","1.1928","1.1861","1.1918"
04/07/2021,"1.1873","1.1916","1.1861","1.1873"
04/06/2021,"1.1815","1.1880","1.1796","1.1874"
04/05/2021,"1.1765","1.1822","1.1738","1.1813"
04/02/2021,"1.1778","1.1788","1.1752","1.1760"
