Date,Open,High,Low,Close
04/24/2020,"2,812.64","2,842.71","2,791.76","2,836.74"
04/23/2020,"2,810.42","2,844.90","2,794.26","2,797.80"
04/22/2020,"2,787.89","2,815.10","2,775.95","2,799.31"
04/21/2020,"2,784.81","2,785.54","2,727.10","2,736.56"
04/20/2020,"2,845.62","2,868.98","2,820.43","2,823.16"
04/17/2020,"2,842.43","2,879.22","2,830.88","2,874.56"
04/16/2020,"2,799.34","2,806.51","2,764.32","2,799.55"
04/15/2020,"2,795.64","2,801.88","2,761.54","2,783.36"
04/14/2020,"2,805.10","2,851.85","2,805.10","2,846.06"
04/13/2020,"2,782.46","2,782.46","2,721.17","2,761.63"
04/09/2020,"2,776.99","2,818.57","2,762.36","2,789.82"
04/08/2020,"2,685.00","2,760.75","2,663.30","2,749.98"
04/07/2020,"2,738.65","2,756.89","2,657.67","2,659.41"
04/06/2020,"2,578.28","2,676.85","2,574.57","2,663.68"
04/03/2020,"2,514.92","2,538.18","2,459.96","2,488.65"
04/02/2020,"2,458.54","2,533.22","2,455.79","2,526.90"
